"";"Adriatic";"China";"Ellesmere";"Himalaya";"Iran";"Japan";"Malaysia";"Pakistan-N"
"Cl_abadehensis";0;0;0;0;1;0;0;1
"Cl_bachmanni";0;1;0;0;1;0;0;1
"Cl_carinata";0;1;0;1;1;1;1;0
"Cl_changxingensis";0;1;1;0;1;1;1;1
"Cl_deflecta";1;1;1;0;1;1;1;1
"Cl_hauschkei";0;0;1;0;1;0;1;1
"Cl_liangshanensis";0;1;0;0;0;1;1;1
"Cl_longicuspidata";0;1;0;0;1;0;1;0
"Cl_meishanensis";0;1;1;1;1;0;1;1
"Cl_orchardi";0;0;0;1;1;0;0;1
"Cl_orientalis";0;1;0;1;1;1;1;0
"Cl_parasubcarinata";0;1;0;0;1;1;0;0
"Cl_postwangi";0;1;0;0;1;1;0;1
"Cl_praedeflecta";0;1;0;0;1;1;0;0
"Cl_sosioensis";1;0;0;0;1;0;0;0
"Cl_subcarinata";1;1;0;1;1;1;1;1
"Cl_taylorae";0;1;1;0;1;0;0;1
"Cl_tulongensis";0;1;0;0;1;0;1;1
"Cl_wangi";0;1;0;0;0;1;1;0
"Cl_yini";0;1;0;0;1;0;0;1
"Cl_zhangi";0;1;0;0;1;1;1;1
"Cl_zhejiangensis";0;1;0;0;1;0;1;0
"Hi_bicuspidatus";0;1;0;0;1;0;0;1
"Hi_changxingensis";1;1;0;0;1;0;0;0
"Hi_eurypyge";1;1;0;0;1;0;0;0
"Hi_inflatus";0;1;0;0;0;0;0;1
"Hi_julfensis";0;1;0;1;1;0;0;1
"Hi_latidentatus";1;1;0;1;1;0;1;0
"Hi_magnus";0;1;0;0;1;0;0;0
"Hi_minutus";0;1;0;0;0;1;0;0
"Hi_parvus";0;1;0;0;1;0;0;1
"Hi_pisai";1;1;0;0;0;0;0;0
"Hi_praeparvus";1;1;0;1;1;0;1;1
"Hi_priscus";1;1;0;0;0;0;0;0
"Hi_typicalis";1;1;1;1;1;1;1;1
"Ir_sosioensis";1;0;0;0;0;0;0;1
"Me_ultima";0;1;0;0;1;0;0;0
"Mg_sheni";0;0;1;1;0;0;0;0
