Number_order;Gn_current;Gn_Species_current;Species_in_paper;Status_species;Sample;Quantity;Proportion;Facies;Environment;Member;Formation;Group;Unit_Terrane_basin;Stage;Sub_stage;Sub_sub_stage;Section;Department_municipality_District;Region_county;Province_State_country;Continent;Latitude;Longitude;Ref_section;Age_paper;DOI;Other_link
1;Hindeodus;Hi_parvus;Hi_parvus;cf;Wadi_Maqam_1-2_OM1_27;;100;Dolomite;Slope;C;Maqam;Sumeini;;Induan;Griesbachian;NA;Wadi_Maqam_1-2;NA;Al Buraymi;Oman;Asia;24,773889;55,866389;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
2;Hindeodus;Hi_postparvus;Hi_postparvus;cf;Wadi_Maqam_1-2_OM0_175;;100;Dolomite_stromatolite;Slope;C;Maqam;Sumeini;;Induan;Griesbachian;NA;Wadi_Maqam_1-2;NA;Al Buraymi;Oman;Asia;24,773889;55,866389;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
3;Clarkina;Cl_changxingensis;G_changxingiensis;cf;Wadi_Maqam_3-5_A2;;100;Limestone;;B;Maqam;Sumeini;;Changhsingian;NA;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
4;Hindeodus;Hi_typicalis;Hi_typicalis;;Wadi_Maqam_3-5_OM_86b;;NA;Limestone;;B;Maqam;Sumeini;;Changhsingian;NA;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
5;Hindeodus;Hi_parvus;Hi_parvus;;Wadi_Maqam_3-5_OM0_88;;100;Limestone;Slope;C;Maqam;Sumeini;;Induan;Griesbachian;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
6;Hindeodus;Hi_parvus;Hi_parvus;;Wadi_Maqam_3-5_OM0_94;;NA;Limestone;Slope;C;Maqam;Sumeini;;Induan;Griesbachian;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
7;Hindeodus;Hi_typicalis;Hi_typicalis;;Wadi_Maqam_3-5_OM0_94;;NA;Limestone;Slope;C;Maqam;Sumeini;;Induan;Griesbachian;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
8;Isarcicella;Is_isarcica;Is_isarcica;;Wadi_Maqam_3-5_OM0_98;;100;Limestone;Slope;C;Maqam;Sumeini;;Induan;Griesbachian;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
9;Hindeodus;Hi_parvus;Hi_parvus;;Wadi_Maqam_3-5_OM0_100;;NA;Dolomite;Slope;C;Maqam;Sumeini;;Induan;Griesbachian;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
10;Ellisonia;E_sp;E_sp;;Wadi_Maqam_3-5_OM0_100;;NA;Dolomite;Slope;C;Maqam;Sumeini;;Induan;Griesbachian;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
11;Neospathodus;Ns_waageni;Nv_waageni;cf;Wadi_Maqam_3-5_OMO_124;;100;Limestone_oolitic;Slope;C;Maqam;Sumeini;;Olenekian;Smithian;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
12;Conservatella;Cs_conservativa;Ns_conservativus;;Wadi_Maqam_3-5_OMO_133;;NA;Limestone;Slope;C;Maqam;Sumeini;;Olenekian;Smithian;NA;Wadi_Maqam_3-5;NA;Al Buraymi;Oman;Asia;24,7775;55,869167;Richoz_2006;2006;NA;https://www.unil.ch/iste/home/menuinst/library/memoires-de-geologie.html
