;Chin;Thai;Iran;Jpn;SalR;Pri;Gre;Tra
Abichites;0;0;1;0;0;0;0;1
Alibashites;0;0;1;0;0;0;0;1
Arasella;0;0;1;0;0;0;0;1
Araxoceltites;0;0;0;0;0;0;0;1
Changhsingoceras;1;0;0;0;0;1?;1;0
Chaotianoceras;1;0;0;0;0;0;0;0
Cyclolobus;1;0;0;1;1;0;1;0
Dzhulfites;0;0;1;0;0;0;0;1
Dzhulfoceras;0;0;0;0;0;1;0;1
Episageceras;0;0;0;0;1;0;0;0
Eumedlicottia;0;0;0;1;0;1;0;0
Huananoceras;1;1;0;0;0;1;0;0
Hypophiceras;1;0;0;0;0;0;1;0
Iranites;1?;0;1;0;0;1?;0;1
Julfotirolites;0;0;0;0;0;0;0;1
Julfotoceras;0;0;1;0;0;0;0;0
Meitianoceras;1;0;0;0;0;0;0;0
Neoaganides;1;0;0;0;0;0;0;1
Neogeoceras;0;0;0;1;0;0;0;0
Otoceras;0;0;0;0;0;0;1;0
Paratirolites;0;1?;1;1?;0;0;0;1
Penglaites;1;0;0;0;0;0;0;0
Pentagonoceras;1;0;0;0;0;0;0;0
Phisonites;0;0;0;0;0;0;0;1
Pleuronodoceras;1;0;0;0;0;0;0;1
Pseudogastrioceras;1;1;1;0;0;0;0;1
Pseudotirolites;1;0;0;0;0;1?;0;0
Qinglongites;1;0;0;0;0;0;0;0
Rongjiangoceras;1;0;0;1?;0;0;0;0
Rotodiscoceras;1;0;0;1;0;0;0;0
Schizoloboceras;1;0;0;0;0;0;0;0
Shevyrevites;1?;0;1;0;0;0;0;1
Sinoceltites;1;0;0;1;0;1;0;0
Stacheoceras;1;0;0;0;1;0;0;0
Sutchanites;0;0;0;0;0;1;0;0
Tapashanites;1;0;0;0;0;1?;0;1
Vedioceras;0;0;0;0;0;0;0;1
Wangrenoceras;1;0;0;0;0;0;0;0
Xenodiscus;1;1?;0;1;1;1;0;1
