;Arc;Him;SalR;Sib;Chin;Pri;Bri;Nev
Ambites ;1;1;1;0;1;1;1;1
Awanites ;0;0;1;0;0;0;0;0
Bukkenites;1;1;1;1;0;0;0;0
Clypites ;0;1;1;0;1;1;0;0
Dunedinites ;0;1;0;0;0;1;1;0
Episageceras;0;0;0;1;0;0;0;0
Ghazalaites;0;1;1;0;0;0;0;0
Gyronites ;0;1;1;0;1;1;0;0
Heibergites ;1;0;0;0;0;0;0;0
Hubeitoceras ;0;0;0;0;1;0;0;0
Kingites ;1;1;1;1?;0;0;0;0
Koiloceras ;0;0;1;0;0;0;0;0
Koninckites ;0;1;1;0;1;0;1;1
Kyoktites;0;1;1;0;0;0;0;0
Meekophiceras;1;0;0;0;0;0;1;0
Mullericeras ;1;1;1;0;1?;1;1?;1
Pachyproptychites;0;0;0;0;0;1;0;0
Parahedenstroemia;0;0;0;0;0;1;0;1
Pashtunites ;0;0;1;0;0;0;0;0
Proptychites ;1;1;1;0;1;1;1;1
Pseudoproptychites;0;0;0;0;1;1;0;0
Pseudosageceras ;1;1;1;0;1;0;0;0
Radioceras;0;1;1;0;0;0;0;0
Sakhaitoides;0;0;0;1;0;0;0;0
Shangganites;0;0;0;0;1;0;0;0
Subacerites ;0;0;1;0;0;0;0;0
Tellerites;0;0;0;0;0;0;1;0
Tompoproptychites;0;0;0;1;0;0;0;0
Ussuridiscus ;0;1;1;0;1;1;0;1
Vavilovites ;1;1;1;1;0;0;1;1
Xenodiscoides;0;1?;1?;0;1;0;1;0
