;Arc;Gre;Him;Oman;SalR;Sib;Chin;Spi;Pri
Mullericeras;0;0;0;0;0;0;1;0;0
Ussuridiscus;0;0;0;0;0;0;1;0;1
Discophiceras;1;1;1;1;0;0;0;1;0
Ophiceras;1;1;1;1;1;1;1;1;1
Vishnuites;1;1;1;0;0;0;1;1;1
Wordieoceras;1;1;0;0;0;1;0;1;1
Otoceras;1;1;1;0;0;1;0;1;0
Bukkenites;1;1;0;1?;0;0;0;1;1
Dunedinites;0;0;0;0;0;0;0;0;1
Jieshaniceras;0;0;0;0;0;0;1;0;0
Pachyproptychites;0;0;0;0;0;0;0;0;1
Pseudoproptychites;0;0;0;0;0;0;1;0;1
Aldanoceras;0;0;0;1;0;1;0;0;0
Hypophiceras;1;1;1;0;1;0;1?;1;0
Metophiceras;0;1;1;1;0;1;1?;1;0
Tompophiceras;1;1;0;0;0;1;0;1;1
Anotoceras;0;0;1;1;0;0;1;0;0
Episageceras;0;0;1;1;0;0;0;0;0
