;Afg;USA;Ala;Arc;Bri;Jpn;Mon;Vie;Cau;Oman;SalR;Chin;Him;Ole;Pri;Tim;Spi
Acutomeekoceras;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anaflemingites;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Anaxenaspis;1;0;0;1;1;0;1?;0;0;1;1;0;1;1;1;1;0
Arctoceras;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;0;0
Aspenites;0;1;1;0;0;1;0;1;0;1;0;1;1;0;0;1;0
Brayardites;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
Churkites;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Clypeoceras;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Cordillerites;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crittendenites;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dieneroceras;1;1;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0
Elkoceras;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Episageceras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Escarguelites;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Euflemingites;0;1;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0
Flemingites;0;1?;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0
Galfettites;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0
Gambleites;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Goudemandites;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Guangxiceras;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Guodunites;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
Hanielites;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
Hebeisenites;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Hedenstroemia;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Hermannites;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Hochuliites;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Inyoites;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0
Jinyaceras;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
Juvenites;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0
Kashmirites;0;1?;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0
Kelteroceras;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Kraffticeras;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Lanceolites;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0
Larenites;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lepiskites;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Leyeceras;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0
Lingyunites;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lucasites;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Meekoceras;1;1;1;1;1;1?;0;0;1;1?;1;0;0;1;1;0;0
Melagathiceras;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Mesohedenstroemia;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Metussuria;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Minersvillites;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montelloites;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nammalites;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1?;0
Nanningites;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Nuetzelia;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Nyalamites;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0
Omanites;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Owenites;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0
Oxyussuria;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Palominoceras;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paranannites;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;0;0
Parussuria;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1?;0
Preflorianites;0;1;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0
Prionites;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0
Procurvoceratites;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Proharpoceras;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1?;0;0
Pseudaspenites;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0
Pseudaspidites;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0
Pseudoceltites;1;0;0;0;0;0;1;0;0;0;1;1?;1;0;0;1;0
Pseudoflemingites;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Pseudosageceras;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0
Punjabites;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Rohillites;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Roopnarinites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Sakhaites;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Safraites;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Shigetaceras;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Steckites;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
Stephanites;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
Subflemingites;0;0;0;0;0;0;0;0;0;1;0;0;1?;0;0;1;0
Subinyoites;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Submeekoceras;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
Subradioceras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Subvishnuites;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0
Thermalites;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Truempyceras;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
Tulongites;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Urdyceras;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0
Ussuria;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0
Ussurijuvenites;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
