;Afg;Alb;Arc;Bri;USA;Chio;Ole;Qin;SalR;Chin;Sib;Yug;Tim;Oman;Vie;Pri;Jpn
Albanites;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;1
Arctomeekoceras;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Arnautoceltites;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1
Bajarunia;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0
Balkanites;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Beatites;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Beyrichites;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Boreoceras;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Boreomeekoceras;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Burijites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Byrrangoceras;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Carteria;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Ceccaisculitoides;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Chioceras;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Chiotites;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Columbites;1;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1
Cordillerites;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0
Coscaites;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Courtilloticeras;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Cowboyiceras;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Dagnoceras;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0
Dalmatites;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Deweveria;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
Diaplococeras;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Digitophyllites;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Dinarites;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0
Doaboceras;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dorikranites;0;0;0;0;0;0;0;0;0;1?;0;0;0;0;0;0;0
Eoacrochordiceras;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Eodanubites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1?;0;0
Eodanubites (Dumitricaceras);0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Eophyllites;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
Eogymnites;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
