Region_abrev;Region_Neo;OffPaleolong;OffPaleolat
Afg;Afghanistan;61,49085707;-8,660317539
Ala;Alaska;-55;40
Alb;Albania;26,42888736;2,992779318
Arc;Arctic Canada;-1,826500446;40,41062698
Bri;British Columbia;-33,08756425;27,51810852
Cau;Caucasus;46,34135247;22,91496375
Iran;Central Iran;61,49085707;-8,660317539
Chio;Chios;28,20579486;-8,567070848
Gre;Greenland;12,2068589;29,22023509
Him;Himalayas;65;-50
Jpn;Japan;145;0
Mon;Mongolia;70;45
Nev;Nevada;-39,97874954;12,59014807
Ole;Olenek;20,02984059;64,62953396
Oman;Oman;54,02656326;-28,80831737
Qin;Qinghai;95;-15
SalR;Salt Range;55;-40
Sib;Siberia;-4,818050295;75,12648184
Chin;South China;98,74338553;9,899577037
Pri;South Primorye;112,265083;35,69273682
Spi;Spitsbergen;11,27136617;41,220317
Thai;Thailand;87,15044525;-13,83495162
Tim;Timor;90;-35
Tra;Transcaucasia and NW Iran;43,33193905;0,342125015
Vie;Vietnam;100;-3
USA;West-USA;-39,97874954;12,59014807
Yug;Yugoslavia;36,5;3
