"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Bri";"Arc";0,111111104488373;1
"2";"Chin";"USA";0,263157904148102;1
"3";"Tim";"Him";0,315068483352661;1
"4";"Chin";"Oman";0,323943674564362;0,999
"5";"Chin";"Vie";0,322033882141113;0,998
"6";"Him";"SalR";0,333333313465118;0,998
"7";"Bri";"Ole";0,272727251052856;0,997
"8";"Him";"USA";0,402597427368164;0,987
"9";"Him";"Oman";0,388888895511627;0,987
"10";"Ole";"Arc";0,304347813129425;0,987
"11";"Jap";"Ala";0,333333313465118;0,968
"12";"Ole";"Spi";0,5;0,959
"13";"Cau";"Ala";0,384615361690521;0,936
"14";"Ole";"Pri";0,448275864124298;0,898
"15";"Pri";"USA";0,482758641242981;0,885
"16";"SalR";"Afg";0,5;0,806
"17";"Ole";"Afg";0,47826087474823;0,802
"18";"Bri";"Jap";0,5;0,799
"19";"Ole";"Jap";0,5;0,799
"20";"Cau";"Afg";0,481481492519379;0,796
"21";"Ala";"Afg";0,481481492519379;0,793
"22";"Cau";"Oman";0,52173912525177;0,77
"23";"Cau";"Pri";0,515151500701904;0,739
"24";"Jap";"USA";0,551020383834839;0,722
"25";"Ole";"Mon";0,571428537368774;0,627
