"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Chio";"Afg";0,285714268684387;1
"2";"Chio";"Alb";0,137931048870087;1
"3";"Chio";"Chin";0,223880589008331;1
"4";"Tim";"Afg";0,17948716878891;1
"5";"Chin";"Afg";0,263157904148102;1
"6";"Chin";"USA";0,342465758323669;1
"7";"Chin";"Alb";0,288135588169098;1
"8";"Alb";"Afg";0,291666686534882;1
"9";"Bri";"Arc";0,333333313465118;0,999
"10";"Oman";"SalR";0,238095223903656;0,998
"11";"Chin";"Jap";0,379310369491577;0,997
"12";"Pri";"USA";0,446153819561005;0,988
"13";"SalR";"Afg";0,428571403026581;0,976
"14";"Ole";"Arc";0,428571403026581;0,972
"15";"SalR";"Vie";0,444444417953491;0,927
"16";"Qin";"Afg";0,473684191703796;0,917
"17";"Bri";"Qin";0,548387110233307;0,785
"18";"Jap";"Yug";0,636363625526428;0,638
"19";"SalR";"Yug";0,61904764175415;0,635
"20";"Sib";"Arc";0,666666626930237;0,635
"21";"Bri";"Ole";0,666666626930237;0,516
