"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Him";"Chin";0,130434811115265;0,997
"2";"Him";"Ell";0,181818187236786;0,981
"3";"Jap";"Adr";0,333333313465118;0,972
"4";"Ell";"Alb";0,25;0,929
"5";"NewZ";"USA";0,333333313465118;0,867
"6";"NewZ";"Alb";0,333333313465118;0,841
"7";"NewZ";"Chin";0,333333313465118;0,84
"8";"Jap";"Spi";0,428571403026581;0,799
"9";"NewZ";"Spi";0,399999976158142;0,799
"10";"Jap";"NewZ";0,428571403026581;0,797
"11";"Ell";"USA";0,384615361690521;0,775
"12";"Ell";"Spi";0,428571403026581;0,723
