"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Jap";"Chin";0,24444442987442;0,998
"2";"Oman";"Chin";0,276595771312714;0,997
"3";"Him";"Chin";0,333333313465118;0,985
"4";"Jap";"Him";0,348837196826935;0,974
"5";"Oman";"USA";0,368421077728271;0,953
"6";"Oman";"Him";0,377777755260468;0,953
"7";"Him";"USA";0,384615361690521;0,939
"8";"Bri";"Adr";0,384615361690521;0,914
"9";"Bri";"Rus";0,399999976158142;0,872
"10";"Bri";"Pri";0,428571403026581;0,831
"11";"EurE";"Adr";0,5;0,701
"12";"USA";"Alb";0,519999980926514;0,67
"13";"Him";"EurE";0,533333301544189;0,614
