"";"Adr";"Alb";"Bri";"Chin";"Ell";"Him";"Iran";"Jap";"Mal";"PakN";"USA"
"Cl_carinata";1;1;1;1;1;1;0;1;1;1;1
"Cl_changxingensis";0;1;0;1;0;1;0;0;1;0;0
"Cl_deflecta";0;1;0;1;0;1;0;0;1;1;0
"Cl_kazi";0;0;0;1;0;1;0;0;0;1;0
"Cl_lehrmanni";0;0;0;1;0;1;0;0;0;1;0
"Cl_meishanensis";0;1;0;1;1;1;0;0;0;1;0
"Cl_nassichuki";0;0;0;1;0;1;0;0;0;1;0
"Cl_orchardi";0;1;1;1;0;1;0;0;0;1;0
"Cl_planata";1;1;0;1;0;1;0;0;0;1;0
"Cl_rosenkrantzi";0;1;0;0;0;0;0;0;0;0;1
"Cl_subcarinata";0;0;0;1;0;0;1;0;0;0;0
"Cl_taylorae";0;1;0;1;1;1;0;0;0;1;0
"Cl_tulongensis";0;1;0;1;1;1;0;0;1;1;0
"Cl_zhejiangensis";0;0;0;1;0;1;1;0;1;0;0
"Ha_aequabilis";1;0;0;1;0;0;0;0;0;1;0
"Ha_agordina";1;0;0;1;0;0;0;0;0;0;0
"Ha_anceps";1;0;0;0;0;0;1;0;0;0;0
"Hi_anterodentatus";1;0;0;1;0;1;1;0;1;1;0
"Hi_bicuspidatus";1;0;0;1;0;1;1;0;0;1;0
"Hi_eurypyge";0;0;0;1;0;1;1;0;0;1;0
"Hi_inflatus";0;0;0;1;0;1;0;1;0;1;0
"Hi_latidentatus";1;0;0;1;0;1;1;0;0;1;0
"Hi_magnus";0;0;0;1;0;0;1;0;0;0;0
"Hi_minutus";1;0;0;1;0;1;0;1;0;0;0
"Hi_parvus";1;1;1;1;1;1;1;1;1;1;0
"Hi_peculiaris";1;0;0;1;0;0;0;0;0;0;0
"Hi_pisai";1;0;0;1;0;1;0;0;0;1;0
"Hi_postparvus";1;0;0;1;0;1;1;1;1;1;0
"Hi_praeparvus";1;0;0;1;0;1;1;1;0;1;0
"Hi_priscus";1;0;0;1;0;0;0;0;0;0;0
"Hi_sosioensis";0;0;0;1;0;0;1;0;0;0;0
"Hi_turgidus";1;0;0;1;0;0;1;0;0;1;0
"Hi_typicalis";1;0;1;1;0;1;1;1;1;1;1
"Is_inflata";1;0;0;1;0;0;0;0;0;0;0
"Is_isarcica";1;0;1;1;0;1;1;1;0;1;1
"Is_lobata";1;0;0;1;0;1;0;0;1;1;0
"Is_staeschei";1;0;0;1;0;1;1;0;1;1;0
"Is_turgida";1;0;0;1;0;1;0;0;1;1;0
"Me_peculiaris";0;0;0;0;1;0;0;0;0;0;1
"Ncl_discreta";0;1;1;1;1;1;0;0;0;0;0
"Ncl_krystyni";0;1;0;1;0;1;0;0;0;1;0
