"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Cl_abadehensis";0,0169056226868634;0,461850840759275;0,0133726160279135;1,26419712130934;0,666666666666667;0;2;0,0521413982341132;0,108333333333333
"Cl_bachmanni";0,0240815486127893;0,461850840759275;0,00338419279782893;7,11589145519086;1;0;17;0,104282796468226;0,00833333333333333
"Cl_carinata";0,00940646528881823;0,461850840759275;0,0145919330978139;0,644634622826462;0,666666666666667;1;20;0,156424194702339;0,408333333333333
"Cl_changxingensis";0;0,461850840759275;0;NA;1;1;23;0,208565592936453;NA
"Cl_deflecta";0;0,461850840759275;0;NA;1;1;27;0,260706991170566;NA
"Cl_hauschkei";0,012250151998784;0,461850840759275;0,0137077731201779;0,893664630380535;0,666666666666667;0,5;31;0,312848389404679;0,608333333333333
"Cl_liangshanensis";0,00749915739804516;0,461850840759275;0,0116275406222969;0,644947856270209;0,666666666666667;1;1;0,349452464129477;0,408333333333333
"Cl_longicuspidata";0,0120841772004563;0,461850840759275;0,0133338381674638;0,906278975992307;0,666666666666667;0,5;10;0,386056538854275;0,708333333333333
"Cl_meishanensis";0,0124816334802655;0,461850840759275;0,0138921913335022;0,8984639773975;1;0,5;19;0,422660613579074;0,308333333333333
"Cl_orchardi";0,0169056226868634;0,461850840759275;0,0133726160279135;1,26419712130934;0,666666666666667;0;26;0,458564827128805;0,108333333333333
"Cl_orientalis";0,00940646528881823;0,461850840759275;0,0145919330978139;0,644634622826462;0,666666666666667;1;24;0,490339335322502;0,408333333333333
"Cl_parasubcarinata";0,011997371412333;0,461850840759275;0,0134762602239617;0,890259702094572;0,666666666666667;0,5;25;0,522113843516198;0,708333333333333
"Cl_postwangi";0,0115999151325238;0,461850840759275;0,0128819996372255;0,900474729016699;1;0,5;29;0,553888351709894;0,308333333333333
"Cl_praedeflecta";0,011997371412333;0,461850840759275;0,0134762602239617;0,890259702094572;0,666666666666667;0,5;37;0,585662859903591;0,708333333333333
"Cl_sosioensis";0,00749915739804516;0,461850840759275;0,0116275406222969;0,644947856270209;0,333333333333333;0;9;0,612688107838066;0,408333333333333
"Cl_subcarinata";0;0,461850840759275;0;NA;1;1;18;0,639713355772542;NA
"Cl_taylorae";0,0240815486127893;0,461850840759275;0,00338419279782893;7,11589145519086;1;0;33;0,666738603707018;0,00833333333333333
"Cl_tulongensis";0,0124816334802655;0,461850840759275;0,0138921913335022;0,8984639773975;1;0,5;6;0,693262647657322;0,308333333333333
"Cl_wangi";0,0169056226868634;0,461850840759275;0,0133726160279135;1,26419712130934;0,333333333333333;1;30;0,719786691607627;0,108333333333333
"Cl_yini";0,0240815486127893;0,461850840759275;0,00338419279782893;7,11589145519086;1;0;8;0,745951366723493;0,00833333333333333
"Cl_zhangi";0;0,461850840759275;0;NA;1;1;22;0,77211604183936;NA
"Cl_zhejiangensis";0,0120841772004563;0,461850840759275;0,0133338381674638;0,906278975992307;0,666666666666667;0,5;28;0,798280716955226;0,708333333333333
"Hi_bicuspidatus";0,0240815486127893;0,461850840759275;0,00338419279782893;7,11589145519086;1;0;12;0,824257440073473;0,00833333333333333
"Hi_changxingensis";0,0146750833239711;0,461850840759275;0,011394114178631;1,2879529811535;0,666666666666667;0;14;0,850234163191719;0,108333333333333
"Hi_eurypyge";0,0146750833239711;0,461850840759275;0,011394114178631;1,2879529811535;0,666666666666667;0;13;0,875350313491357;0,108333333333333
"Hi_inflatus";0,0165823912147442;0,461850840759275;0,0132175099085455;1,25457755125443;0,666666666666667;0;3;0,895717203531774;0,108333333333333
"Hi_julfensis";0,0240815486127893;0,461850840759275;0,00338419279782893;7,11589145519086;1;0;11;0,916084093572191;0,00833333333333333
"Hi_latidentatus";0,0120841772004563;0,461850840759275;0,0133338381674638;0,906278975992307;0,666666666666667;0,5;36;0,936450983612607;0,708333333333333
"Hi_magnus";0,0146750833239711;0,461850840759275;0,011394114178631;1,2879529811535;0,666666666666667;0;7;0,952688168296989;0,108333333333333
"Hi_minutus";0,012250151998784;0,461850840759275;0,0137077731201779;0,893664630380535;0,333333333333333;0,5;15;0,96892535298137;0,608333333333333
"Hi_parvus";0,0240815486127893;0,461850840759275;0,00338419279782893;7,11589145519086;1;0;32;0,984462676490685;0,00833333333333333
"Hi_pisai";0,00717592592592593;0,461850840759275;0,0111255692969425;0,644994043396771;0,333333333333333;0;34;1;0,408333333333333
"Hi_praeparvus";0,0124816334802655;0,461850840759275;0,0138921913335022;0,8984639773975;1;0,5;4;1;0,308333333333333
"Hi_priscus";0,00717592592592593;0,461850840759275;0,0111255692969425;0,644994043396771;0,333333333333333;0;5;1;0,408333333333333
"Hi_typicalis";0;0,461850840759275;0;NA;1;1;16;1;NA
"Ir_sosioensis";0,00940646528881823;0,461850840759275;0,0145919330978139;0,644634622826462;0,333333333333333;0;21;1;0,408333333333333
"Me_ultima";0,0146750833239711;0,461850840759275;0,011394114178631;1,2879529811535;0,666666666666667;0;35;1;0,108333333333333
"Mg_sheni";0;0,461850840759275;0;NA;0;0;38;1;NA
