"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Ambites ";0,0335554430949168;0,670182823320022;0,0372450667355863;0,900936581296436;0,5;1;3;0,087283562965815;0,268055555555556
"Bukkenites";0,0343294369029663;0,670182823320022;0,0377589150659498;0,909174345793741;1;0,5;6;0,17456712593163;0,0680555555555555
"Clypites ";0,0584959446578608;0,670182823320022;0,0147212207224308;3,97357975678811;0;1;17;0,261850688897445;0,00138888888888889
"Dunedinites ";0,0295568885448916;0,670182823320022;0,0336408955776495;0,87859993134454;0;0,5;8;0,32261968415902;0,0680555555555555
"Ghazalaites";0,0241665077548945;0,670182823320022;0,0262156233635963;0,921836090628792;0;0,5;19;0,383388679420595;0,0680555555555555
"Gyronites ";0,0584959446578608;0,670182823320022;0,0147212207224308;3,97357975678811;0;1;2;0,434612667425692;0,00138888888888889
"Kingites ";0,0343294369029663;0,670182823320022;0,0377589150659498;0,909174345793741;1;0,5;7;0,485836655430788;0,0680555555555555
"Koninckites ";0,0407263368147235;0,670182823320022;0,027301168390911;1,49174336539684;0;0,75;14;0,537060643435884;0,00138888888888889
"Kyoktites";0,0241665077548945;0,670182823320022;0,0262156233635963;0,921836090628792;0;0,5;18;0,58828463144098;0,0680555555555555
"Meekophiceras";0,024940501562944;0,670182823320022;0,0272471982811511;0,915341874991867;0,5;0;1;0,638353719945347;0,268055555555556
"Mullericeras ";0,0335554430949168;0,670182823320022;0,0372450667355863;0,900936581296436;0,5;1;11;0,688422808449714;0,268055555555556
"Parahedenstroemia";0,0177696078431373;0,670182823320022;0,0335486434763232;0,52966695525791;0;0,25;13;0,738491896954081;0,334722222222222
"Proptychites ";0,0335554430949168;0,670182823320022;0,0372450667355863;0,900936581296436;0,5;1;15;0,783989508268062;0,268055555555556
"Pseudoproptychites";0,0343294369029663;0,670182823320022;0,0377589150659498;0,909174345793741;0;0,5;4;0,828092232952156;0,0680555555555555
"Pseudosageceras ";0,0304917176047207;0,670182823320022;0,0333721686684783;0,913687027883256;0,5;0,75;10;0,865306707413604;0,401388888888889
"Radioceras";0,0241665077548945;0,670182823320022;0,0262156233635963;0,921836090628792;0;0,5;5;0,901366282374323;0,0680555555555555
"Ussuridiscus ";0,0584959446578608;0,670182823320022;0,0147212207224308;3,97357975678811;0;1;9;0,937425857335042;0,00138888888888889
"Vavilovites ";0,0343294369029663;0,670182823320022;0,0377589150659498;0,909174345793741;1;0,5;16;0,97348543229576;0,0680555555555555
"Xenodiscoides";0,0407263368147235;0,670182823320022;0,027301168390911;1,49174336539684;0;0,75;12;1;0,00138888888888889
