"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Ussuridiscus";0,0223824786324786;0,497119424692954;0,0332516575266389;0,673123696602112;0;0,333333333333333;5;0,132220930936056;0,228769841269841
"Discophiceras";0,0283348595848596;0,497119424692954;0,0352159233247483;0,804603625569204;0,75;0,666666666666667;12;0,264441861872112;0,714484126984127
"Ophiceras";0;0,497119424692954;0;NA;1;1;13;0,396662792808168;NA
"Vishnuites";0,0283348595848596;0,497119424692954;0,0352159233247483;0,804603625569204;0,75;0,666666666666667;6;0,486711491453582;0,714484126984127
"Wordieoceras";0,065729593119299;0,497119424692954;0,00626941723558933;10,4841631445702;1;0;14;0,573908073066931;0,000198412698412698
"Otoceras";0,0447649572649573;0,497119424692954;0,0334411173534437;1,33862026175233;1;0,333333333333333;7;0,649130910230328;0,0573412698412698
"Bukkenites";0,0373947335344394;0,497119424692954;0,0333308160434302;1,12192673247825;0,75;0,333333333333333;2;0,706129004002987;0,45734126984127
"Pseudoproptychites";0,0223824786324786;0,497119424692954;0,0332516575266389;0,673123696602112;0;0,333333333333333;4;0,763127097775647;0,228769841269841
"Aldanoceras";0,0283348595848596;0,497119424692954;0,0352159233247483;0,804603625569204;0,25;0,333333333333333;9;0,820125191548306;0,714484126984127
"Hypophiceras";0,0283348595848596;0,497119424692954;0,0352159233247483;0,804603625569204;0,75;0,666666666666667;10;0,877123285320966;0,714484126984127
"Metophiceras";0,0163194444444444;0,497119424692954;0,0295408002679579;0,552437452486543;0,75;1;1;0,922147634643673;0,628769841269841
"Tompophiceras";0,065729593119299;0,497119424692954;0,00626941723558933;10,4841631445702;1;0;8;0,96717198396638;0,000198412698412698
"Anotoceras";0,065729593119299;0,497119424692954;0,00626941723558933;10,4841631445702;0;1;11;1;0,000198412698412698
"Episageceras";0,0433471144868204;0,497119424692954;0,0324109160020284;1,33742330775556;0;0,666666666666667;3;1;0,0859126984126984
