"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Anaflemingites";0,007042121001262;0,752824974262625;0,0102438524659102;0,687448498960424;0,333333333333333;0;7;0,0299248062224948;0,1338
"Anaxenaspis";0,00954782396428204;0,752824974262625;0,0118199106655816;0,807774629979592;0,666666666666667;0,75;10;0,0598496124449896;0,9046
"Arctoceras";0,0112586057592001;0,752824974262625;0,0116944292235208;0,962732386849273;0,5;0,75;29;0,0897744186674844;0,8016
"Aspenites";0,0182811771982296;0,752824974262625;0,00867640180437979;2,10699983822803;0,833333333333333;0;57;0,115022094586113;1e-04
"Brayardites";0,0115442276493865;0,752824974262625;0,0120133868827468;0,960946963754731;0,5;0;9;0,139833230454872;0,0338
"Churkites";0,00737075925306973;0,752824974262625;0,0107460967462275;0,685901069675115;0,333333333333333;0;4;0,164116666609651;0,1353
"Dieneroceras";0,0225281414742637;0,752824974262625;0,00298517507468815;7,54667344816186;1;0;32;0,18840010276443;1e-04
"Euflemingites";0,0112586057592001;0,752824974262625;0,0116944292235208;0,962732386849273;0,5;0,75;35;0,212683538919209;0,8016
"Flemingites";0,0186784427218249;0,752824974262625;0,00897856214139328;2,0803378567391;0,833333333333333;0;47;0,236966975073988;1e-04
"Galfettites";0,0225281414742637;0,752824974262625;0,00298517507468815;7,54667344816186;1;0;27;0,25753752068875;1e-04
"Goudemandites";0,00779149157605394;0,752824974262625;0,0113536431122291;0,686254755327096;0,333333333333333;0;28;0,278108066303513;0,1307
"Guodunites";0,0109839138248772;0,752824974262625;0,011367390459146;0,966265200826259;0,5;0;37;0,298119740550603;0,0324
"Hanielites";0,0143393843746144;0,752824974262625;0,0105370176079719;1,36085796836534;0,666666666666667;0;31;0,31782367318361;0,0053
"Hedenstroemia";0,00776802477666504;0,752824974262625;0,0113955600758888;0,681671170608014;0,333333333333333;0;66;0,33739880738083;0,1369
"Hochuliites";0,00809666302847278;0,752824974262625;0,0118280601772983;0,68453008414793;0,333333333333333;0;16;0,356568573181873;0,1341
"Inyoites";0,0144314784457909;0,752824974262625;0,0106236759877594;1,35842607233304;0,666666666666667;0;36;0,375738338982916;0,0052
"Jinyaceras";0,00696862512154468;0,752824974262625;0,0101363060735874;0,687491584306351;0,333333333333333;0;13;0,394785773466157;0,1329
"Juvenites";0,0116610213132235;0,752824974262625;0,0121805046224017;0,957351248960342;1;0,5;33;0,412852218447813;0,2966
"Kashmirites";0,0114857022409656;0,752824974262625;0,0118184549523791;0,971844652050175;0,666666666666667;0,5;39;0,42848311163988;0,9083
"Kraffticeras";0,00769452889694772;0,752824974262625;0,0113039072007117;0,680696396416212;0,333333333333333;0;65;0,444037613683001;0,1339
"Lanceolites";0,0109839138248772;0,752824974262625;0,011367390459146;0,966265200826259;0,5;0;18;0,45952729815401;0,0324
"Leyeceras";0,0109104179451599;0,752824974262625;0,0112973605843395;0,965749288403168;0,5;0;5;0,474861842097233;0,0332
