"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Bo_buurensis";0,0272531212748604;0,737190386639234;0,033734573857682;0,807869143088474;0,555555555555556;1;6;0,0660835287632094;0,0931
"Bo_curvata";0,0088960113960114;0,737190386639234;0,0171342428286615;0,519194894397696;0,222222222222222;0;7;0,132167057526419;0,3413
"Bo_sweeti";0,0125399779432038;0,737190386639234;0,0183696937863759;0,682644909002466;0,333333333333333;0;24;0,192337630236516;0,4834
"Cb_elongata";0,013324101227327;0,737190386639234;0,0288658468747193;0,461587054249785;0,222222222222222;0;14;0,245494064856279;0,2882
"Co_breviramulis";0,0131223174381742;0,737190386639234;0,0196169558150389;0,668927307677082;0,333333333333333;0;1;0,282462969726436;0,4201
"Cs_conservativa";0,0487161421194352;0,737190386639234;0,0180120606076775;2,70464013976671;1;0;21;0,317273916595086;1e-04
"D_discreta";0,0487161421194352;0,737190386639234;0,0180120606076775;2,70464013976671;1;0;42;0,351598366666753;1e-04
"D_pseudodieneri";0,00758026287438052;0,737190386639234;0,0148053675484305;0,511994237872473;0,222222222222222;0;23;0,385069576326716;0,3433
"D_robusta";0,0159545031735858;0,737190386639234;0,0187192907797694;0,852302758757738;0,444444444444444;0;10;0,418220092258883;0,216
"Eu_costatus";0,0244382416573242;0,737190386639234;0,0249583410724172;0,979161298678311;0,555555555555556;0;41;0,450925950814075;0,0749
"Eu_hamadai";0,0115955288146114;0,737190386639234;0,0172171756884679;0,673486117840927;0,333333333333333;0;22;0,483124219895972;0,4826
"Fo_gardenae";0,00952972952972953;0,737190386639234;0,0184363705932474;0,516898349462553;0,222222222222222;0;35;0,512649504189643;0,3494
"Fu_triserratus";0,015602783308733;0,737190386639234;0,0228140817386771;0,683910204559377;0,333333333333333;0;32;0,540446312967957;0,4439
"Gu_bransoni";0,0391864125897057;0,737190386639234;0,0278449282630267;1,40730880035122;0,777777777777778;0;38;0,562957459171292;1e-04
"Ha_aequabilis";0,0159545031735858;0,737190386639234;0,0187192907797694;0,852302758757738;0,444444444444444;0;27;0,585197283359818;0,216
"Ha_anceps";0,0108725095567201;0,737190386639234;0,0209705201315899;0,518466375106347;0,222222222222222;0;25;0,607081136085021;0,3531
"Ic_zaksi";0,00686525506259852;0,737190386639234;0,0132503078406474;0,51812041993004;0,222222222222222;0;9;0,628723446487793;0,3398
"Mag_mutata";0,0088960113960114;0,737190386639234;0,0171342428286615;0,519194894397696;0,222222222222222;0;15;0,650365756890565;0,3413
"Ns_chaohuensis";0,00686525506259852;0,737190386639234;0,0132503078406474;0,51812041993004;0,222222222222222;0;13;0,6715309587048;0,3398
"Ns_concavus";0,0131223174381742;0,737190386639234;0,0196169558150389;0,668927307677082;0,333333333333333;0;4;0,689605124441103;0,4201
"Ns_cristagalli";0,025662295381378;0,737190386639234;0,0193340171486024;1,3273131591917;0,666666666666667;0;5;0,707405570127864;1e-04
"Ns_curtus";0,0237362544335979;0,737190386639234;0,0271538799427738;0,874138593954953;0,111111111111111;0,5;20;0,725206015814626;0,1614
"Ns_dieneri";0,0246746539905108;0,737190386639234;0,0287539753478738;0,858130178244565;0,666666666666667;0,5;29;0,742478642925553;0,2085
"Ns_pakistanensis";0,0443571677604609;0,737190386639234;0,0239346766733034;1,85325953493814;0,888888888888889;0;3;0,759489144107441;1e-04
"Ns_posterolongatus";0,0161325658516484;0,737190386639234;0,0189596776536084;0,850888192636443;0,444444444444444;0;40;0,775926281827941;0,2318
"Ns_robustus";0,00837424029920524;0,737190386639234;0,0162984335338814;0,51380645150939;0,222222222222222;0;43;0,792253149963355;0,3385
"Ns_spitiensis";0,016394984592328;0,737190386639234;0,0194145673847501;0,844468190684801;0,444444444444444;0;11;0,807982504313015;0,2411
"Ns_waageni";0;0,737190386639234;0;NA;1;1;44;0,823208190411206;NA
"Nv_abruptus";0,0127332146581796;0,737190386639234;0,0186910303402403;0,681247337701123;0,333333333333333;0;16;0,837956767920859;0,4855
"Nv_gryphus";0,00758026287438052;0,737190386639234;0,0148053675484305;0,511994237872473;0,222222222222222;0;36;0,852705345430513;0,3433
"Nv_latiformis";0,0088960113960114;0,737190386639234;0,0171342428286615;0,519194894397696;0,222222222222222;0;33;0,866594283225374;0,3413
"Nv_pingdingshanensis";0,0204915402106228;0,737190386639234;0,0192761444137148;1,06305181009348;0,555555555555556;0;12;0,879521377368821;0,1061
"Pa_meeki";0,0102387914230019;0,737190386639234;0,0198808256976368;0,515008359246316;0,222222222222222;0;37;0,891625500079984;0,3462
"Pc_longispinosa";0;0,737190386639234;0;NA;0;0;2;0,903692954508639;NA
"Pc_obliqua";0,0217657557440839;0,737190386639234;0,0269030612511517;0,809043831142158;0,444444444444444;0;18;0,915760408937294;0,1131
"Pc_symmetrica";0,0108725095567201;0,737190386639234;0,0209705201315899;0,518466375106347;0,222222222222222;0;31;0,927827863365949;0,3531
"Pr_ethingtoni";0,00892304290137107;0,737190386639234;0,0180168043015154;0,495262242517701;0,222222222222222;0;26;0,939187534423764;0,3485
"Pr_peculiaris";0,0165950005733287;0,737190386639234;0,0260552061010648;0,636916879834259;0,333333333333333;0;45;0,950285079552541;0,3503
"Sg_ellesmerensis";0,0077583255524432;0,737190386639234;0,0152123024285862;0,510003373181969;0,222222222222222;0;39;0,960809261219929;0,3402
"Sg_lachrymiformis";0,0121172999114176;0,737190386639234;0,0179113146249344;0,676516501728411;0,333333333333333;0;8;0,971091900564885;0,4668
"Sg_milleri";0,0241104445136703;0,737190386639234;0,0281630647167503;0,856101591078985;0,888888888888889;0,5;30;0,981374539909842;0,1614
"Sg_mosheri";0,0253036546195114;0,737190386639234;0,033022534516643;0,766254165220378;0,555555555555556;1;17;0,990687269954921;0,0896
"Sm_longiusculus";0,0120360102333537;0,737190386639234;0,0180834371858301;0,665581996921743;0,333333333333333;0;19;1;0,4903
"Ur_unicorna";0,0112242294215729;0,737190386639234;0,0165292296216463;0,679053390780772;0,333333333333333;0;28;1;0,4858
"Wa_robustus";0,00818100358422939;0,737190386639234;0,0158728147082026;0,515409757791837;0,222222222222222;0;34;1;0,337
