"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Albanites";0,0159361383665717;0,759491665956437;0,012238907588534;1,30208829924506;1;0,333333333333333;7;0,0317339251481571;0,2039
"Arctomeekoceras";0,0152446915744788;0,759491665956437;0,013103382888778;1,16341647831528;0,166666666666667;0,666666666666667;35;0,0634678502963142;0,1021
"Arnautoceltites";0,00692377896785192;0,759491665956437;0,0100792123375206;0,686936512100025;0,333333333333333;0;36;0,0952017754444713;0,4438
"Bajarunia";0,00917561432164001;0,759491665956437;0,0122639541708655;0,748177479612393;0,166666666666667;0,333333333333333;45;0,126935700592628;0,2929
"Columbites";0,0198976352789724;0,759491665956437;0,01035599480911;1,9213639679955;0,833333333333333;0;53;0,158669625740786;0,0373
"Cordillerites";0,0127849324519838;0,759491665956437;0,0121078678549287;1,0559193910247;0,666666666666667;0,333333333333333;54;0,190403550888943;0,4328
"Dagnoceras";0,0241016516781107;0,759491665956437;0,00487173144249053;4,94724554557742;1;0;59;0,2221374760371;0,0027
"Dalmatites";0;0,759491665956437;0;NA;0;0;44;0,24978111658037;NA
"Deweveria";0,00310653706880122;0,759491665956437;0,00714910672466492;0,434534996950521;0,166666666666667;0;61;0,277424757123641;0,3539
"Dinarites";0,00692377896785192;0,759491665956437;0,0100792123375206;0,686936512100025;0,333333333333333;0;31;0,304647867894906;0,8966
"Eodanubites (Dumitricaceras)";0,00653246299472715;0,759491665956437;0,00952555667655056;0,685782806878717;0,333333333333333;0;5;0,330846490171972;0,4663
"Eophyllites";0,0121293738685688;0,759491665956437;0,0126069083724108;0,962121204522505;0,5;0;15;0,355417973573037;0,1849
"Eogymnites";0,00770186944106434;0,759491665956437;0,011282339917731;0,682648235846918;0,333333333333333;0;62;0,377526311245217;0,4502
"Epiceltites";0,00770186944106434;0,759491665956437;0,011282339917731;0,682648235846918;0,333333333333333;0;26;0,399028886395284;0,4502
"Fengshanites";0,0186618368632959;0,759491665956437;0,00904871643156958;2,06237392943243;0,833333333333333;0;40;0,420531461545351;0,0279
"Globacrochordiceras";0,00653246299472715;0,759491665956437;0,00952555667655056;0,685782806878717;0,333333333333333;0;55;0,442034036695419;0,4663
"Hellenites";0,0142343324357915;0,759491665956437;0,0105585979243928;1,3481271412852;0,666666666666667;0;1;0,463016674268542;0,0553
"Hemilecanites";0,0142343324357915;0,759491665956437;0,0105585979243928;1,3481271412852;0,666666666666667;0;29;0,483999311841666;0,0553
"Inyoceras";0,00310653706880122;0,759491665956437;0,00714910672466492;0,434534996950521;0,166666666666667;0;37;0,504981949414789;0,3539
"Isculitoides";0,0143634340304854;0,759491665956437;0,0121855719013076;1,17872465460108;0,833333333333333;0,333333333333333;38;0,525463148210968;0,2812
"Kazakhstanites";0,00310653706880122;0,759491665956437;0,00714910672466492;0,434534996950521;0,166666666666667;0;41;0,545944347007146;0,9885
"Keyserlingites";0,00770186944106434;0,759491665956437;0,011282339917731;0,682648235846918;0,666666666666667;1;2;0,566016577234032;0,9828
"Koninckitoides";0,008165513311539;0,759491665956437;0,0122272416197795;0,667813196586381;0;0,333333333333333;34;0,586088807460918;0,268
"Leiophyllites";0,00917561432164001;0,759491665956437;0,0122639541708655;0,748177479612393;0,833333333333333;0,666666666666667;57;0,605741475193189;0,2929
"Meropella";0,00792535746943042;0,759491665956437;0,0116559995111403;0,679938040650714;0,333333333333333;0;65;0,62523128947556;0,4245
"Metadagnoceras";0,016331026623078;0,759491665956437;0,0125624627697307;1,29998607139578;1;0,333333333333333;20;0,644143194206466;0,15
"Metahedenstroemia";0,00770186944106434;0,759491665956437;0,011282339917731;0,682648235846918;0,333333333333333;0;17;0,662885114722297;0,4502
"Neocolumbites";0,00310653706880122;0,759491665956437;0,00714910672466492;0,434534996950521;0,166666666666667;0;18;0,681627035238128;0,3539
"Neomeekoceras";0,0159361383665717;0,759491665956437;0,012238907588534;1,30208829924506;0;0,666666666666667;43;0,69954264720379;0,0534
"Neopopanoceras";0,00653246299472715;0,759491665956437;0,00952555667655056;0,685782806878717;0,333333333333333;0;6;0,716376186036482;0,4663
"Nordophiceras";0,0206757257521848;0,759491665956437;0,0105626703838893;1,95743358457161;0,166666666666667;1;56;0,733209724869174;0,0247
"Nordophiceratoides";0,00310653706880122;0,759491665956437;0,00714910672466492;0,434534996950521;0,166666666666667;0;12;0,749180109288461;0,3539
"Olenekoceras";0,008165513311539;0,759491665956437;0,0122272416197795;0,667813196586381;0;0,333333333333333;52;0,764217156820038;0,268
"Olenikites";0,0152446915744788;0,759491665956437;0,013103382888778;1,16341647831528;0,166666666666667;0,666666666666667;60;0,778868792730983;0,1021
