"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Ad_unicosta";0,02181949934337;0,695622836003658;0,0185509230543783;1,17619480601642;0;0,6;13;0,0550375437491067;0,0495
"Bo_buurensis";0,0143832611405609;0,695622836003658;0,0181723822351238;0,791490127956962;0;0,4;25;0,110075087498213;0,133
"Bo_sweeti";0,016465872926059;0,695622836003658;0,0211888185210403;0,777101984695774;0;0,4;30;0,16511263124732;0,1205
"Cb_elongata";0,0237875673606566;0,695622836003658;0,020559630414528;1,15700364651729;0;0,6;9;0,209624795357281;0,046
"Cb_joanae";0,00706156670596326;0,695622836003658;0,0145445607640227;0,48551254455416;0;0,2;14;0,252629770652739;0,2984
"Cb_jubata";0,0237875673606566;0,695622836003658;0,020559630414528;1,15700364651729;0;0,6;24;0,294271319969152;0,046
"Cb_paragondolellaeformis";0,00706156670596326;0,695622836003658;0,0145445607640227;0,48551254455416;0;0,2;33;0,335789603375796;0,2984
"Ch_gondolelloides";0,0149660279368863;0,695622836003658;0,018962339703413;0,789250069926368;0;0,4;15;0,371089876654709;0,1293
"Ch_timorensis";0,0309636778348313;0,695622836003658;0,016925367813902;1,82942422139853;0;0,8;32;0,405746532113188;0,0078
"Co_breviramulis";0,0144978049087723;0,695622836003658;0,0184409432833759;0,786174800604791;0;0,4;4;0,439942602353371;0,1348
"Gg_carinata";0,0159588633053594;0,695622836003658;0,0181820954098164;0,87772409866155;0,25;0,4;6;0,474138672593555;0,9248
"Gg_laii";0,013915038112447;0,695622836003658;0,0176113340201776;0,790118346316316;0;0,4;1;0,505505525741624;0,1461
"Ic_collinsoni";0,0382853722694289;0,695622836003658;0,00606052200864243;6,31717403465134;0;1;21;0,536498429509122;1e-04
"Ic_crassatus";0,0299152428772939;0,695622836003658;0,0184156259590647;1,62444887530791;0,25;1;35;0,566653570675735;0,0732
"Ic_zaksi";0,0245556762099816;0,695622836003658;0,0190295072778557;1,29040000097936;0,25;0,8;36;0,596001440839828;0,516
"Mag_mutata";0,0167260006546934;0,695622836003658;0,0214431926606989;0,780014474493288;0;0,4;31;0,622528070611561;0,1139
"Ng_bucheri";0,00940430622009569;0,695622836003658;0,0194224223316436;0,484198420748679;0;0,2;23;0,646854762991575;0,1881
"Ng_spathiconstricta";0,00940430622009569;0,695622836003658;0,0194224223316436;0,484198420748679;0;0,2;16;0,670899402973183;0,1881
"Ns_anhuinensis";0,0144978049087723;0,695622836003658;0,0184409432833759;0,786174800604791;0;0,4;3;0,694570093574221;0,1348
"Ns_robustispinus";0,0120222965993962;0,695622836003658;0,0168907435417085;0,711768346355469;0,25;0,2;11;0,717511927107235;0,9562
"Ns_waageni";0,0215593716147356;0,695622836003658;0,0183325299670288;1,17601725749311;0;0,6;8;0,739026499605841;0,0483
"Nst_oezdemirae";0,0133768670231286;0,695622836003658;0,0189292154720199;0,70667836408231;0,25;0,2;10;0,759867973114764;0,9562
"Nst_tahoensis";0,0169222027439738;0,695622836003658;0,0194326852358578;0,870811343804842;0,25;0,4;19;0,780709446623687;0,8771
"Nv_abruptus";0,0289668126310695;0,695622836003658;0,0180367742967762;1,60598631187878;0,25;1;2;0,801386256521408;0,1197
"Nv_brevissimus";0,0382853722694289;0,695622836003658;0,00606052200864243;6,31717403465134;0;1;12;0,821389967429446;1e-04
"Nv_clinatus";0,0136549103838126;0,695622836003658;0,017256164602862;0,791306220012987;0;0,4;27;0,841393678337485;0,1528
"Nv_curtatus";0,013915038112447;0,695622836003658;0,0176113340201776;0,790118346316316;0;0,4;28;0,861397389245523;0,1461
"Nv_expansus";0,013915038112447;0,695622836003658;0,0176113340201776;0,790118346316316;0;0,4;29;0,881401100153562;0,1461
"Nv_magnicuspidatus";0,013915038112447;0,695622836003658;0,0176113340201776;0,790118346316316;0;0,4;26;0,901030861681029;0,1461
"Nv_pingdingshanensis";0,0382853722694289;0,695622836003658;0,00606052200864243;6,31717403465134;0;1;22;0,920260919020691;1e-04
"Pc_obliqua";0,0184525294314316;0,695622836003658;0,0193819567879806;0,952046773877584;0,5;0;20;0,937543699253244;0,7391
"Sp_spathi";0,0241079609564284;0,695622836003658;0,0185456207969579;1,29992741792622;0,25;0,8;37;0,952658618797924;0,3831
"Ts_brochus";0,0288810660493333;0,695622836003658;0,0152086278865014;1,89899222105151;0;0,8;17;0,966177879140387;0,0081
"Ts_homeri";0;0,695622836003658;0;NA;1;1;18;0,97969713948285;NA
"Ts_pusillus";0,0209766048184103;0,695622836003658;0,0177436193840891;1,18220552212815;0;0,6;5;0,989848569741425;0,0459
"Ts_sosioensis";0,0204150486742134;0,695622836003658;0,0191340217345182;1,06695021869784;0,25;0,6;7;1;0,5155
"Ts_symmetricus";0,0105142831996379;0,695622836003658;0,0189240022911608;0,555605682025784;0,75;1;34;1;0,916
"Ts_triangularis";0;0,695622836003658;0;NA;1;1;38;1;NA
