"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Bri";"Arc";0,111111104488373;1
"2";"Chin";"USA";0,263157904148102;1
"3";"Tim";"Him";0,315068483352661;1
"4";"Chin";"Oman";0,323943674564362;0,999
"5";"Him";"SalR";0,333333313465118;0,999
"6";"Bri";"Ole";0,272727251052856;0,998
"7";"Chin";"Vie";0,322033882141113;0,998
"8";"Him";"USA";0,402597427368164;0,987
"9";"Ole";"Arc";0,304347813129425;0,987
"10";"Jpn";"Ala";0,333333313465118;0,966
"11";"Ole";"Spi";0,5;0,957
"12";"Cau";"Ala";0,384615361690521;0,934
"13";"Ole";"Pri";0,448275864124298;0,904
"14";"Pri";"USA";0,482758641242981;0,879
"15";"Pri";"SalR";0,480000019073486;0,871
"16";"SalR";"Afg";0,5;0,814
"17";"Bri";"Jpn";0,5;0,808
"18";"Ole";"Afg";0,47826087474823;0,808
"19";"Ole";"Jpn";0,5;0,808
"20";"Ala";"Afg";0,481481492519379;0,793
"21";"Cau";"Afg";0,481481492519379;0,79
"22";"Cau";"Oman";0,52173912525177;0,775
"23";"Cau";"Pri";0,515151500701904;0,738
"24";"Jpn";"USA";0,551020383834839;0,73
"25";"Ole";"Mon";0,571428537368774;0,635
