"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Abichites";0,0495156944700555;0,74210410391952;0,0117056868185772;4,23005460828431;0;1;1;0,0667233804644549;0,00833333333333333
"Alibashites";0,0495156944700555;0,74210410391952;0,0117056868185772;4,23005460828431;0;1;2;0,13344676092891;0,00833333333333333
"Arasella";0,0495156944700555;0,74210410391952;0,0117056868185772;4,23005460828431;0;1;3;0,200170141393365;0,00833333333333333
"Changhsingoceras";0,0300712500256111;0,74210410391952;0,0246000593475831;1,22240558856885;0,666666666666667;0;6;0,26689352185782;0,308333333333333
"Cyclolobus";0,0321360153256705;0,74210410391952;0,0271045210678142;1,18563302576968;0,666666666666667;0;20;0,333616902322275;0,208333333333333
"Dzhulfites";0,0495156944700555;0,74210410391952;0,0117056868185772;4,23005460828431;0;1;8;0,383238139281265;0,00833333333333333
"Dzhulfoceras";0,0238843813387424;0,74210410391952;0,0273001326844494;0,874881511193071;0,333333333333333;0,5;15;0,432859376240255;0,808333333333333
"Eumedlicottia";0,0368241235888295;0,74210410391952;0,0294437473527682;1,25066022159599;0,666666666666667;0;19;0,482480613199245;0,108333333333333
"Huananoceras";0,0300712500256111;0,74210410391952;0,0246000593475831;1,22240558856885;0,666666666666667;0;5;0,525784531282894;0,308333333333333
"Hypophiceras";0,0126915708812261;0,74210410391952;0,0197925032504974;0,641231213687289;0,333333333333333;0;17;0,569088449366542;0,808333333333333
"Iranites";0,0194444444444444;0,74210410391952;0,0305807976544953;0,635838367073665;0,666666666666667;1;18;0,612392367450191;0,508333333333333
"Neoaganides";0,0228535353535354;0,74210410391952;0,0251734874209304;0,90784145126169;0,333333333333333;0,5;4;0,652913973336462;0,508333333333333
"Paratirolites";0,0300712500256111;0,74210410391952;0,0246000593475831;1,22240558856885;0,333333333333333;1;9;0,693435579222733;0,308333333333333
"Pleuronodoceras";0,0228535353535354;0,74210410391952;0,0251734874209304;0,90784145126169;0,333333333333333;0,5;13;0,733957185109004;0,508333333333333
"Pseudogastrioceras";0,0368241235888295;0,74210410391952;0,0294437473527682;1,25066022159599;0,333333333333333;1;16;0,774478790995275;0,108333333333333
"Pseudotirolites";0,0300712500256111;0,74210410391952;0,0246000593475831;1,22240558856885;0,666666666666667;0;23;0,812019989025362;0,308333333333333
"Rongjiangoceras";0,0321360153256705;0,74210410391952;0,0271045210678142;1,18563302576968;0,666666666666667;0;22;0,845818076401423;0,208333333333333
"Rotodiscoceras";0,0321360153256705;0,74210410391952;0,0271045210678142;1,18563302576968;0,666666666666667;0;7;0,878002754012817;0,208333333333333
"Shevyrevites";0,0368241235888295;0,74210410391952;0,0294437473527682;1,25066022159599;0,333333333333333;1;12;0,908798346211852;0,108333333333333
"Sinoceltites";0,0495156944700555;0,74210410391952;0,0117056868185772;4,23005460828431;1;0;14;0,939593938410886;0,00833333333333333
"Stacheoceras";0,0126915708812261;0,74210410391952;0,0197925032504974;0,641231213687289;0,333333333333333;0;11;0,96579571298907;0,808333333333333
"Tapashanites";0,0250816993464052;0,74210410391952;0,0280063166837307;0,895572939121107;0,666666666666667;0,5;10;0,982897856494535;0,808333333333333
"Xenodiscus";0,027859477124183;0,74210410391952;0,031571697370319;0,882419364325153;1;0,5;21;1;0,108333333333333
