"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Him";"Chin";0,130434811115265;0,994
"2";"Him";"Ell";0,181818187236786;0,98
"3";"Jpn";"Adr";0,333333313465118;0,969
"4";"Ell";"Alb";0,25;0,934
"5";"NewZ";"USA";0,333333313465118;0,869
"6";"NewZ";"Alb";0,333333313465118;0,845
"7";"NewZ";"Chin";0,333333313465118;0,84
"8";"Jpn";"Spi";0,428571403026581;0,804
"9";"NewZ";"Spi";0,399999976158142;0,797
"10";"Jpn";"NewZ";0,428571403026581;0,796
"11";"Ell";"USA";0,384615361690521;0,77
"12";"Ell";"Spi";0,428571403026581;0,731
