"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Cl_carinata";0,00713109354413702;0,701234540129961;0,0163053778181672;0,437346108974652;0,833333333333333;1;18;0,0491936809363186;0,1295
"Cl_changxingensis";0,0170170059131921;0,701234540129961;0,0195946882197072;0,868449945331482;0,5;0,2;37;0,0983873618726372;0,3195
"Cl_deflecta";0,0201468458445027;0,701234540129961;0,019085874495762;1,05558934954624;0,666666666666667;0,2;28;0,137962882528577;0,1507
"Cl_kazi";0,0130766643514563;0,701234540129961;0,0135262306836711;0,966763369431693;0,5;0;36;0,176987221916466;0,0616
"Cl_lehrmanni";0,0130766643514563;0,701234540129961;0,0135262306836711;0,966763369431693;0,5;0;38;0,216011561304356;0,0616
"Cl_meishanensis";0,0160080737272933;0,701234540129961;0,0173119216422804;0,924684969009864;0,5;0,4;19;0,252908960194375;0,9823
"Cl_nassichuki";0,0130766643514563;0,701234540129961;0,0135262306836711;0,966763369431693;0,5;0;22;0,289806359084394;0,0616
"Cl_orchardi";0,0161394677736571;0,701234540129961;0,0176386664576008;0,915004987052311;0,5;0,4;14;0,324019012010018;0,9823
"Cl_planata";0,0180072342695507;0,701234540129961;0,0155526555064983;1,15782377241152;0,666666666666667;0,2;29;0,356051771934674;0,2358
"Cl_rosenkrantzi";0,0134740393119173;0,701234540129961;0,0181606794431954;0,741934758226564;0;0,4;32;0,386428373852393;0,6861
"Cl_subcarinata";0,0107959081887292;0,701234540129961;0,0167773447760391;0,643481333479398;0,333333333333333;0;20;0,41524577621801;0,1192
"Cl_taylorae";0,0160080737272933;0,701234540129961;0,0173119216422804;0,924684969009864;0,5;0,4;3;0,443976314563666;0,9823
"Cl_tulongensis";0,0183441017057361;0,701234540129961;0,0193197952454759;0,949497728762512;0,666666666666667;0,4;27;0,470704371905257;0,8897
"Cl_zhejiangensis";0,0239910939409262;0,701234540129961;0,0201061151506525;1,19322374119337;0,666666666666667;0;40;0,497366837738538;0,0144
"Ha_aequabilis";0,0141700289323454;0,701234540129961;0,0149091963179723;0,950422050265987;0,5;0;13;0,523526561277451;0,0603
"Ha_agordina";0,00933078729163313;0,701234540129961;0,0139263419327953;0,670009923399909;0,333333333333333;0;9;0,54920589285489;0,1666
"Ha_anceps";0,012797066191178;0,701234540129961;0,0186946412770962;0,684531251576156;0,333333333333333;0;2;0,573473102952725;0,0782
"Hi_anterodentatus";0,0344963082286794;0,701234540129961;0,0107268468989238;3,21588520407991;1;0;8;0,596488894175254;1e-04
"Hi_bicuspidatus";0,0258737305426342;0,701234540129961;0,0136463093213242;1,8960240408887;0,833333333333333;0;6;0,619317310077765;0,0022
"Hi_eurypyge";0,0202077578955933;0,701234540129961;0,0159966037371729;1,26325301467801;0,666666666666667;0;12;0,642145725980277;0,0159
"Hi_inflatus";0,0146654114836816;0,701234540129961;0,0158782001776964;0,923619259082129;0,5;0,2;35;0,663865001675701;0,8181
