"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Him";"Chin";0,130434811115265;0,995
"2";"Him";"Ell";0,181818187236786;0,984
"3";"Jap";"Adr";0,333333313465118;0,97
"4";"Ell";"Alb";0,25;0,933
"5";"NewZ";"USA";0,333333313465118;0,871
"6";"NewZ";"Alb";0,333333313465118;0,847
"7";"NewZ";"Chin";0,333333313465118;0,84
"8";"Jap";"NewZ";0,428571403026581;0,801
"9";"NewZ";"Spi";0,399999976158142;0,799
"10";"Jap";"Spi";0,428571403026581;0,798
"11";"Ell";"USA";0,384615361690521;0,771
"12";"Ell";"Spi";0,428571403026581;0,727
