"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Bri";"Arc";0,111111104488373;1
"2";"Chin";"USA";0,263157904148102;1
"3";"Tim";"Him";0,315068483352661;0,999
"4";"Him";"SalR";0,333333313465118;0,999
"5";"Chin";"Vie";0,322033882141113;0,998
"6";"Bri";"Ole";0,272727251052856;0,997
"7";"Chin";"Oman";0,323943674564362;0,997
"8";"Him";"USA";0,402597427368164;0,986
"9";"Jap";"Ala";0,333333313465118;0,967
"10";"Ole";"Spi";0,5;0,96
"11";"Cau";"Ala";0,384615361690521;0,935
"12";"Ole";"Pri";0,448275864124298;0,899
"13";"Pri";"USA";0,482758641242981;0,879
"14";"Pri";"SalR";0,480000019073486;0,868
"15";"Ole";"Afg";0,47826087474823;0,806
"16";"SalR";"Afg";0,5;0,806
"17";"Bri";"Jap";0,5;0,8
"18";"Jap";"Ole";0,5;0,798
"19";"Cau";"Afg";0,481481492519379;0,793
"20";"Ala";"Afg";0,481481492519379;0,789
"21";"Cau";"Oman";0,52173912525177;0,763
"22";"Cau";"Pri";0,515151500701904;0,732
"23";"Jap";"USA";0,551020383834839;0,716
"24";"Ole";"Mon";0,571428537368774;0,634
