"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Him";"Chin";0,130434811115265;0,996
"2";"Him";"Ell";0,181818187236786;0,981
"3";"Jap";"Adr";0,333333313465118;0,97
"4";"Ell";"Alb";0,25;0,934
"5";"NewZ";"USA";0,333333313465118;0,866
"6";"NewZ";"Chin";0,333333313465118;0,838
"7";"NewZ";"Alb";0,333333313465118;0,833
"8";"NewZ";"Spi";0,399999976158142;0,804
"9";"Jap";"Spi";0,428571403026581;0,8
"10";"Jap";"NewZ";0,428571403026581;0,795
"11";"Ell";"USA";0,384615361690521;0,772
"12";"Ell";"Spi";0,428571403026581;0,732
