order;Location;Province_State_country;Section;Region;OffPaleolong;OffPaleolat
1;Oman_Wadi_Maqam_3-5;Oman;Wadi_Maqam_3-5;Oman;52,0365979;-27,05066062
2;Oman_Wadi_Shuyab;Oman;Wadi_Shuyab;Oman;52,03378932;-27,03834035
3;Oman_Wadi_Wasit_Sud;Oman;Wadi_Wasit_Sud;Oman;54,36316696;-28,97691286
4;Oman_Sal;Oman;Sal;Oman;55,57557175;-29,98749654
5;Turkey_Curuk_dag;Turkey;Curuk_dag;EurS;29,89401893;-10,43019301
6;Turkey_NE_Bursa;Turkey;NE_Bursa;EurE;36,9369292;15,76514963
7;Oman_Buday_ah;Oman;Buday_ah;Oman;52,96622332;-28,18263328
8;Oman_Wasit_Block;Oman;Wasit_Block;Oman;54,3624823;-28,97036152
9;Oman_Jabal_Safra;Oman;Jabal_Safra;Oman;53,36817613;-29,34168768
10;Oman_Radio_Tower;Oman;Radio_Tower;Oman;54,33025224;-28,99031224
11;Oman_Wadi_Bani_Khalid;Oman;Wadi_Bani_Khalid;Oman;55,13355818;-29,49101392
12;Oman_Wadi_Musjah;Oman;Wadi_Musjah;Oman;54,29979435;-29,07917319
13;Oman_Jebel_Aweri;Oman;Jebel_Aweri;Oman;55,8222644;-29,78248508
14;Iran_Elika;Iran;Elika;Iran;43,31487796;1,901554012
15;Iran_Ruteh;Iran;Ruteh;Iran;43,54055861;1,730806188
16;Iran_Koh-e-Chah_Kaland;Iran;Koh-e-Chah_Kaland;Iran;46,52247442;-1,623827971
17;Iran_Haftad_Gholleh;Iran;Haftad_Gholleh;Iran;43,77234698;-0,108375053
18;Iran_Abadeh;Iran;Abadeh;Iran;47,43689354;-1,813008228
19;Iran_Abadeh_A-C-H;Iran;Abadeh_A-C-H;Iran;47,43868849;-1,818457691
20;Iran_Kuh-e-Hambast;Iran;Kuh-e-Hambast;Iran;47,26599761;-1,851283511
21;Iran_Mangol;Iran;Mangol;Iran;43,90358259;2,366730317
22;Iran_Emarat;Iran;Emarat;Iran;43,922839;2,324096856
23;Iran_Kuh-e-Ali_Bashi-2;Iran;Kuh-e-Ali_Bashi-2;Iran;37,92582272;1,913325963
24;Iran_Kuh-e-Ali_Bashi-1;Iran;Kuh-e-Ali_Bashi-1;Iran;37,92775714;1,913342999
25;Iran_PHV;Iran;PHV;Iran;47,46504039;-1,811362537
26;Iran_Shareeza;Iran;Shareeza;Iran;45,864222;-1,37134316
27;Iran_Zal;Iran;Zal;Iran;38,08435361;1,759326728
28;Iran_Baghuk;Iran;Baghuk;Iran;46,51710882;-1,604223822
29;Iran_Aras_Valley;Iran;Aras_Valley;Iran;37,8330396;1,948677412
