Region_Neo;Region_abrev;OffPaleolong;OffPaleolat
Afghanistan;Afg;61,49085707;-8,660317539
Alaska;Ala;-55;40
Albania;Alb;26,42888736;2,992779318
Arctic Canada;Arc;-1,826500446;40,41062698
British Columbia;Bri;-33,08756425;27,51810852
Caucasus;Cau;46,34135247;22,91496375
Central Iran;Iran;61,49085707;-8,660317539
Chios;Chio;28,20579486;-8,567070848
Greenland;Gre;12,2068589;29,22023509
Himalayas;Him;65;-50
Japan;Jpn;145;0
Mongolia;Mon;70;45
Nevada;Nev;-39,97874954;12,59014807
Olenek;Ole;20,02984059;64,62953396
Oman;Oman;54,02656326;-28,80831737
Qinghai;Qin;95;-15
Salt Range;SalR;55;-40
Siberia;Sib;-4,818050295;75,12648184
South China;Chin;98,74338553;9,899577037
South Primorye;Pri;112,265083;35,69273682
Spitsbergen;Spi;11,27136617;41,220317
Thailand;Thai;87,15044525;-13,83495162
Timor;Tim;121,7854345;2,090065519
Transcaucasia and NW Iran;Tra;43,33193905;0,342125015
Vietnam;Vie;100;-3
West-USA;USA;-39,97874954;12,59014807
Yugoslavia;Yug;36,5;3
